ID,gri1,gri2,gri3,gri4,gri5,gri6,gri7,gri8,gri9,gri10,gri11,gri12,gri13,gri14,gri15,gri16,gri17,gri18,gri19,gri20,gri21,gri22,gri23,gri24
701,3,4,1,3,4,1,1,3,4,5,1,3,1,1,2,1,1,3,1,1,1,1,1,1
702,2,3,1,2,1,1,5,2,4,2,3,4,5,6,4,1,4,1,1,2,3,1,4,3
703,4,5,4,2,1,2,6,4,4,6,5,4,5,2,2,2,2,2,2,2,2,2,4,1
704,4,2,2,6,5,5,6,4,5,4,2,3,5,2,5,3,2,5,4,4,3,5,2,2
705,4,2,2,4,4,1,5,4,3,4,2,3,3,4,3,1,1,4,2,1,3,2,2,2
708,4,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,6,1,1,1,1,1
709,2,1,2,3,2,6,6,4,1,6,2,3,1,6,4,1,1,1,1,1,1,1,1,1
710,6,6,1,6,1,1,1,6,2,1,2,2,6,6,5,1,2,2,6,6,2,5,2,2
711,4,5,2,6,2,1,1,4,1,1,1,5,1,5,4,1,1,1,4,2,1,1,1,1
712,3,4,2,5,1,2,4,2,1,1,1,4,2,4,4,1,1,4,2,2,3,1,1,2
713,2,4,1,6,2,1,1,1,2,2,2,4,1,1,6,1,1,1,3,2,1,1,1,1
714,2,5,2,1,4,1,3,1,3,4,2,5,3,3,1,1,1,2,1,1,3,1,2,4
715,5,4,3,4,5,2,5,5,3,3,2,4,4,5,3,1,3,5,3,3,4,4,2,5
716,2,4,1,3,3,1,3,3,2,2,4,3,1,4,3,1,3,2,2,2,1,1,3,1
717,4,3,5,3,5,4,5,4,2,2,2,3,2,4,2,2,2,4,2,4,2,2,2,3
718,4,3,4,3,3,2,4,4,2,2,3,4,2,2,5,2,2,2,2,2,2,3,2,2
719,2,3,2,4,2,2,2,2,2,2,2,5,2,2,5,2,2,2,2,2,2,2,4,2
720,4,2,2,2,2,1,5,4,1,2,1,3,4,2,2,1,2,4,2,2,1,4,2,2
721,2,5,1,1,2,1,6,2,1,1,5,5,2,6,4,1,5,1,1,1,2,1,2,1
722,5,6,2,5,5,1,5,6,5,4,6,4,4,6,4,1,2,4,6,1,5,6,5,2
723,6,5,4,6,6,4,6,6,2,2,6,5,3,4,3,6,6,5,4,6,1,6,6,2
724,4,4,2,3,3,1,4,4,5,5,2,5,5,2,3,1,2,6,3,5,5,6,2,4
726,2,2,1,3,3,2,5,2,2,1,2,2,1,2,2,2,5,2,2,1,2,1,5,1
727,1,5,1,3,5,3,4,3,5,3,2,2,5,3,3,1,2,2,1,1,3,2,4,3
729,4,6,1,2,4,2,6,4,5,4,3,2,4,4,3,1,4,3,2,1,4,2,5,2
730,4,4,5,2,6,1,6,4,4,5,6,2,4,1,4,1,5,2,1,2,3,1,4,2
731,5,5,2,2,5,4,3,5,2,4,4,4,6,3,3,2,3,5,5,5,2,5,3,5
732,2,1,1,6,1,1,3,1,1,1,1,2,1,5,1,1,1,1,1,2,1,1,1,1
733,4,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
734,3,2,5,5,2,2,3,2,2,2,2,3,2,4,3,1,2,2,2,2,2,2,2,2
735,4,1,1,2,5,1,4,1,2,3,5,4,2,5,1,1,1,1,2,3,2,2,2,2
739,5,3,6,4,2,1,3,4,5,4,2,4,4,4,3,1,3,3,6,1,6,5,3,2
740,5,4,2,5,5,4,4,5,4,4,3,4,4,5,4,2,4,4,4,2,5,5,3,5
741,4,4,5,2,6,4,6,5,4,5,4,4,5,5,2,1,2,5,3,5,3,4,3,4
742,2,2,1,3,2,1,1,2,1,1,2,3,1,2,2,1,4,1,2,3,1,1,4,1
743,2,2,3,3,3,1,3,3,2,2,4,3,2,5,3,1,4,2,1,2,2,2,5,3
745,4,5,4,5,6,6,6,5,5,5,4,6,4,5,4,2,4,3,3,5,4,5,4,4
746,2,1,1,5,2,1,5,2,1,2,1,2,2,3,4,1,1,2,1,2,2,1,2,1
747,5,4,3,3,3,2,5,4,3,3,1,6,4,2,1,2,1,4,4,6,4,1,1,4
749,4,2,2,2,3,2,4,4,2,3,4,4,4,4,3,2,4,2,2,2,2,4,4,3
750,1,1,1,2,2,2,2,2,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
752,4,1,2,3,4,2,4,4,2,2,2,3,4,4,3,2,4,2,3,3,2,4,2,3
753,6,6,1,2,4,1,5,5,2,1,1,3,6,5,5,1,1,1,2,3,4,6,2,2
754,3,2,2,2,2,2,4,3,2,2,2,3,2,3,3,1,3,2,3,2,2,2,2,3
755,3,3,3,3,2,1,1,1,1,1,1,4,1,3,1,1,1,2,2,1,2,2,2,2
757,2,5,2,5,2,2,2,2,2,2,2,5,2,2,5,2,2,2,2,2,2,2,2,2
758,6,6,3,3,2,4,5,6,5,5,5,5,6,4,4,2,3,4,4,3,5,6,5,5
759,2,2,1,2,1,2,4,2,1,2,4,1,3,2,2,1,1,4,1,1,2,2,4,2
760,4,4,1,3,5,4,5,5,4,4,4,3,5,4,4,4,4,4,3,4,5,4,4,4
762,5,3,2,4,5,5,5,6,4,3,5,3,4,5,4,2,4,4,4,5,1,4,3,4
763,1,6,2,5,6,4,2,1,1,2,2,5,1,2,1,3,3,4,3,5,6,6,2,1
764,2,1,1,3,1,1,1,2,1,1,2,2,1,1,1,1,2,1,3,1,1,1,1,1
765,3,5,2,2,2,1,2,4,2,2,2,5,2,2,2,1,4,1,1,1,1,2,2,2
767,2,4,1,2,4,1,4,2,1,3,4,5,2,5,4,2,2,2,2,2,2,2,4,2
768,4,2,2,2,3,2,5,4,2,2,2,5,2,5,5,2,4,2,3,2,2,2,5,2
769,4,5,1,2,4,5,5,6,3,5,4,1,2,2,5,2,2,1,4,2,1,2,3,2
770,2,4,1,2,1,1,4,1,1,1,5,2,1,3,1,1,1,1,1,2,1,1,5,1
772,3,2,1,2,4,1,4,1,1,2,2,3,1,3,3,1,2,2,3,2,2,1,2,2
773,1,1,1,3,1,1,1,1,1,1,5,2,1,4,1,1,4,1,1,2,1,4,4,1
774,5,3,2,2,4,2,4,3,2,2,4,5,4,2,2,1,2,2,1,2,2,4,3,2
775,1,2,2,1,1,1,4,1,1,1,1,4,1,4,1,1,1,1,1,2,1,1,1,1
776,4,4,1,4,5,1,2,3,1,1,1,6,1,3,2,1,1,2,1,1,3,2,2,1
777,4,1,1,5,4,1,4,2,1,1,1,6,1,3,3,1,1,1,2,2,1,2,1,1
